# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2161608947294051,0.023362766205108482,0.10808044736470257,0.5000000000000001,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3047076651485077,0.04642338060012756,0.26043427993895646,1.7206029294252598,0.0,0.0,Infinity,0.0,0.0,0.0
 0.37197850894159357,0.06918400555720561,0.33834308704505067,1.1581363145336636,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4281280262923487,0.09164680344849101,0.400053267616971,1.0990331437121506,0.0,0.0,Infinity,0.0,0.0,0.0
 0.47710362951067997,0.1138139366461321,0.4526158279015145,1.073239670989282,0.0,0.0,Infinity,0.0,0.0,0.0
 0.520936786035076,0.13568756752227729,0.4990202077728782,1.0586593243755247,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5608384053345042,0.15726985844907487,0.5408875956847905,1.0492653843878514,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5976001536122181,0.17856297179867334,0.5792192794733606,1.0427056814326758,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6317738043686537,0.199569069943221,0.6146869789904361,1.037866857417807,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6637624804926325,0.2202903152548662,0.6477681424306426,1.0341523141499673,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6938715588720399,0.24072887010575733,0.6788170196823352,1.0312131397860387,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7223391126999047,0.2608868968680428,0.7081053357859722,1.028831499915136,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7493551333164681,0.28076655791387084,0.7358471230081879,1.0268643045529549,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7750742101442802,0.30037001561538995,0.7622146717303739,1.0252136536126617,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7996242021659281,0.3196994323447485,0.787349206155103,1.023810288922526,0.0,0.0,Infinity,0.0,0.0,0.0
