# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-82.05654882319571,273.0,0.5485384103135578,1.8230263937731832,0.0,0.0
 0.03692258855391975,0.003408193863805115,0.09230647138479939,2.5000000000000004,-82.05654882319571,273.00494557919626,0.5485384103135578,1.8230263937731832,0.0,0.0
 0.05253124676894207,0.0068988297177487185,0.22363458830715457,8.41379925892415,-82.16496027757327,273.00989115839246,0.5064287361448414,1.974611487516369,-6.94559730145216,-444.9836242020773
 0.06471830342692869,0.010471146996150026,0.2931238754896769,5.701892518648748,-82.26743042471065,273.0148367375887,0.468566039473198,2.1341708868280027,-8.408112804680606,-120.0056374785133
 0.07516484292622745,0.014124384030311115,0.34970786588289055,5.416529597864628,-82.36442214612465,273.0197823167849,0.4344245457171916,2.3018957143618572,-9.284579014946814,-83.90014801791952
 0.08451692886205178,0.01785777816068281,0.3992044294706983,5.292569371952089,-82.45635134025544,273.0247278959812,0.4035548857137911,2.4779776813536567,-9.829806394169857,-58.30008224523281
 0.09310331000591568,0.021670565835144106,0.4440505971699192,5.222941650018576,-82.54359272542062,273.0296734751774,0.37557143261532294,2.662609328500884,-10.16043705764429,-38.50640426213917
 0.10111771891298788,0.025561982695415073,0.4855525722972588,5.17841996940246,-82.6264848039056,273.03461905437365,0.35014198598512336,2.855984257890419,-10.342881109027127,-22.764504968275936
 0.10868535072082056,0.029531263653269434,0.5245076740845213,5.147594753082861,-82.70533412591573,273.03956463356985,0.32697932044563727,3.0582973829571505,-10.419286245999967,-10.096307393517359
 0.11589243798966208,0.03357764295796918,0.5614444717762062,5.125065968241312,-82.78041896538711,273.0445102127661,0.3058342280167155,3.269745203095268,-10.418194850503708,0.15143364518126637
 0.12280122842397856,0.03770035425609541,0.5967341660341017,5.107941048929339,-82.85199250022092,273.0494557919624,0.28648976590905356,3.4905260815405565,-10.359777954517407,8.455444775997202
 0.12945830316328338,0.04189863064479148,0.6306488289681554,5.094529393490834,-82.92028557310799,273.0544013711586,0.26875647953976683,3.7208405234078605,-10.258721069156481,15.18037416108061
 0.13589952865151456,0.04617170471925957,0.6633945795369938,5.083776469038138,-82.98550909604471,273.05934695035484,0.2524684147842384,3.9608915073776982,-10.125949333074564,20.6128067282392
 0.14215316896256228,0.05051880861524695,0.6951317440351915,5.074990392736638,-83.04785615096952,273.06429252955104,0.237479780758098,4.210884803783028,-9.969721925750523,24.981834508142075
